Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary,School
Tyler Betsey,5,SO,F,6-8,225.0,"Windsor, CT",St. Thomas More (CT),45 (2024),"6.8 Pts, 2.9 Reb, 0.3 Ast",Syracuse
Sadiq White,0,FR,F,6-9,195.0,"Charlotte, NC",Myers Park (NC); IMG Academy (FL),30 (2025),"5.8 Pts, 3.2 Reb, 0.5 Ast",Syracuse
Ibrahim Souare,10,SO,F,6-9,214.0,"Conarky, Guinea",Dream City Christian School (AZ),,"0.9 Pts, 2.1 Reb, 0.2 Ast",Syracuse
Bryce Zephir,55,SR,G,6-4,200.0,"Carson, CA",Santa Monica HS,,"0.8 Pts, 0.4 Reb, 0.3 Ast",Syracuse
Luke Fennell,9,FR,G,6-6,190.0,"Melbourne, Australia",Centre of Excellence (Australia),,"1.1 Pts, 0.6 Reb, 0.4 Ast",Syracuse
Calvin Russell III,6,FR,F,6-5,195.0,"Opa Locka, FL",Miami Northwestern (FL),,"3.0 Pts, 1.0 Reb, 0.0 Ast",Syracuse
Tiefing Diawara,12,FR,C,7-0,240.0,"Mopti, Mali",DME Academy at St. JOhn's Northwestern (WI),,"0.5 Pts, 0.8 Reb, 0.0 Ast",Syracuse
Noah Lobdell,24,SO,G,6-0,140.0,"Syracuse, NY",Faith Heritage (NY),,"0.0 Pts, 0.0 Reb, 0.0 Ast",Syracuse
Aaron Womack,14,FR,G,6-6,170.0,"Milwaukee, WI",Dominican (WI),,,Syracuse
Dior Johnson,7,JR,G,6-3,180.0,"Kingston, NY",Mayfair (CA); Centennial (CA); Southern California Academy (CA),39 (2022),"23.6 Pts, 2.9 Reb, 1.4 Ast",Tarleton State
Camron McDowell,55,SR,G,6-5,185.0,"Powder Springs, GA",McEachern HS,,"13.9 Pts, 3.3 Reb, 1.2 Ast",Tarleton State
Freddy Hicks,2,SR,F,6-6,210.0,"Searcy, AR",Searcy HS,,"9.3 Pts, 5.4 Reb, 2.0 Ast",Tarleton State
Andy Sigiscar,97,SO,F,6-9,220.0,"Orleans, France",Jaques Prevert (Franc),,"7.4 Pts, 3.0 Reb, 0.2 Ast",Tarleton State
Chris Mpaka,20,SR,F,6-6,225.0,"Kinshasa, Democratic Republic of the Congo",Diyavanga (DRC),,"8.0 Pts, 5.3 Reb, 0.2 Ast",Tarleton State
Kade Douglas,13,JR,G,6-2,170.0,"Lancaster, TX",Lancaster (TX),,"5.9 Pts, 1.1 Reb, 0.6 Ast",Tarleton State
Kaia Isaac,6,SR,G,6-4,215.0,"Christchurch, New Zealand",Hunter Sports High School (Australia); Canterbury Rams (New Zealand); New Zealand Breakers (New Zealand),,"5.2 Pts, 2.3 Reb, 1.7 Ast",Tarleton State
Jordan Mizell,0,SO,G,6-2,165.0,"Plano, TX",Plano East (TX),,"4.9 Pts, 3.1 Reb, 2.0 Ast",Tarleton State
Leroy Kelly,4,FR,G,6-2,190.0,"Dallas, TX",Dynamic Prep (TX),,"6.2 Pts, 3.2 Reb, 1.4 Ast",Tarleton State
Ocypher Owens,24,SR,F,6-8,215.0,"Orlando, FL",Orlando Christian (FL),,"3.6 Pts, 3.0 Reb, 0.8 Ast",Tarleton State
DJ Dormu,3,SO,G,5-9,175.0,"Washington, DC",Putnam Science Academy (CT),,"5.9 Pts, 1.3 Reb, 2.1 Ast",Tarleton State
Cam Thomas,30,FR,G,6-3,190.0,"Chicago, IL",Mount Carmel (IL),,"3.3 Pts, 0.9 Reb, 0.2 Ast",Tarleton State
Matyas Vrabel,25,SO,F,6-10,220.0,"Ostrava, Czechia",Sportovni Gymnazium (Czechia),,"2.6 Pts, 1.0 Reb, 0.1 Ast",Tarleton State
Malek Archie,5,SO,G,6-2,185.0,"Chicago, IL",McKinney (TX),,"7.0 Pts, 2.5 Reb, 0.0 Ast",Tarleton State
Damion Porter,10,FR,G,6-2,205.0,"Chicago, IL",Romeoville (IL),,"1.2 Pts, 1.3 Reb, 0.2 Ast",Tarleton State
AJ Dent,1,JR,F,6-5,205.0,"Thomasville, GA",Thomasville (GA),,"6.0 Pts, 0.0 Reb, 0.0 Ast",Tarleton State
Joseph Martinez,8,JR,G,6-3,175.0,"El Paso, TX",Cantuillo (TX),,"0.3 Pts, 0.0 Reb, 0.0 Ast",Tarleton State
Roy Marom,14,SO,G,5-8,140.0,"Frisco, TX",Frisco Centennial (TX),,"0.0 Pts, 0.0 Reb, 0.3 Ast",Tarleton State
Jaden Jinks,22,FR,F,6-8,195.0,"Missouri City, TX",Ridge Point (TX),,,Tarleton State
David Punch,15,SO,F,6-7,245.0,"Harker Heights, TX",Harker Heights (TX),,"14.2 Pts, 6.7 Reb, 1.9 Ast",TCU
Xavier Edmonds,24,JR,F,6-8,245.0,"Long Beach, CA",Bishop Montgomery (CA),,"12.4 Pts, 6.2 Reb, 1.0 Ast",TCU
Jayden Pierre,1,SR,G,6-2,170.0,"Elizabeth, NJ",Elizabeth (NJ); Long Island Lutheran (NY),,"10.7 Pts, 2.3 Reb, 2.8 Ast",TCU
Micah Robinson,5,SO,F,6-6,225.0,"Kansas City, MO",Frisco (TX); Greenhill School (TX); Oak Hill Academy (VA),86 (2024),"10.4 Pts, 4.8 Reb, 1.9 Ast",TCU
Brock Harding,2,JR,G,6-0,162.0,"Moline, IL",Moline (IL),,"8.2 Pts, 2.8 Reb, 5.7 Ast",TCU
Tanner Toolson,55,JR,G,6-5,195.0,"Vancouver, WA",Union (WA),,"7.9 Pts, 3.0 Reb, 0.9 Ast",TCU
Liutauras Lelevicius,3,JR,G,6-7,198.0,"Kaunas, Lithuania",,,"7.6 Pts, 3.2 Reb, 0.6 Ast",TCU
Jace Posey,0,SO,F,6-5,206.0,"Houston, TX",Strake Jesuit (TX),,"4.9 Pts, 2.5 Reb, 0.3 Ast",TCU
Kayden Edwards,7,FR,G,6-2,168.0,"Fort Worth, TX",Duncanville (TX),66 (2025),"3.5 Pts, 0.7 Reb, 0.6 Ast",TCU
RJ Jones,8,JR,G,6-3,190.0,"Denton, TX",Braswell (TX); Wasatch Academy (UT),87 (2023),"2.9 Pts, 0.5 Reb, 0.9 Ast",TCU
Vianney Salatchoum,23,SR,C,6-11,198.0,"Yaounde, Cameroon",,,"1.1 Pts, 1.1 Reb, 0.1 Ast",TCU
Ashton Simmons,6,SO,G,6-3,200.0,"Beaumont, TX",West Brook (TX),,"1.3 Pts, 0.8 Reb, 0.3 Ast",TCU
Adam Stewart,22,SO,C,6-11,243.0,"Waller, TX",Waller (TX); Concordia Lutheran (TX); Real Salt Lake Academy (UT),,"0.5 Pts, 0.3 Reb, 0.0 Ast",TCU
Malick Diallo,32,SO,C,6-9,230.0,"Bamako, Mali",Juan Diego Catholic (TX); Wasatch Academy (UT),,"0.0 Pts, 1.0 Reb, 0.0 Ast",TCU
Drew McElroy,30,SO,G,6-2,180.0,"Dallas, TX",Highland Park (TX),,"0.0 Pts, 0.0 Reb, 0.0 Ast",TCU
Trey Stuart,33,SR,G,6-1,168.0,"Weatherford, TX",Brock (TX),,"0.0 Pts, 0.3 Reb, 0.0 Ast",TCU
Derrian Ford,22,SR,G,6-3,205.0,"Magnolia, AR",Magnolia (AR),76 (2022),"18.0 Pts, 4.6 Reb, 2.0 Ast",Temple
Aiden Tobiason,25,SO,G,6-5,195.0,"Wilmington, DE",St. Elizabeth (DE),,"14.7 Pts, 3.5 Reb, 2.3 Ast",Temple
Jordan Mason,32,SR,G,6-2,175.0,"San Antonio, TX",Clark (TX),,"12.0 Pts, 2.9 Reb, 4.3 Ast",Temple
Gavin Griffiths,0,JR,G,6-8,193.0,"Simsbury, CT",Kingswood-Oxford (CT),34 (2023),"10.5 Pts, 5.1 Reb, 1.4 Ast",Temple
Masiah Gilyard,10,SR,G,6-3,195.0,"Brooklyn, NY",McKee Vo-Tech/Staten Island (NY),,"6.1 Pts, 4.0 Reb, 0.5 Ast",Temple
Babatunde Durodola,11,SO,F,6-8,220.0,"Toronto, Canada",DME Academy (FL),,"4.8 Pts, 3.7 Reb, 1.7 Ast",Temple
Jamai Felt,1,SO,F,6-9,210.0,"Boston, MA",Our Saviour Lutheran (NY),,"3.7 Pts, 4.0 Reb, 0.3 Ast",Temple
AJ Smith,9,JR,G,6-4,215.0,"Charlotte, NC",Hickory Grove Christian (NC); Combine Academy (NC),,"7.8 Pts, 1.4 Reb, 0.8 Ast",Temple
Ayuba Bryant,2,FR,G,6-9,200.0,"Antwerp, Belgium",JL Bourg-en-Bresse (France),,"2.0 Pts, 1.8 Reb, 0.2 Ast",Temple
Cam Wallace,7,FR,G,6-4,185.0,"Malvern, PA",Westtown School (PA),,"2.3 Pts, 0.8 Reb, 0.5 Ast",Temple
Mohamed Keita,4,SR,C,7-1,220.0,"Conarky, Guinea",The Winchendon School (MA),,"0.8 Pts, 1.0 Reb, 0.1 Ast",Temple
Connor Gal,13,SR,G,6-4,185.0,"Malvern, PA",Great Valley (PA),,"3.3 Pts, 0.0 Reb, 0.0 Ast",Temple
Spencer Mahoney,8,SO,F,6-9,230.0,"New York, NY",Iona Prep (NY); Xaverian (NY); St. Benedict's (NJ); Red Rock Academy (NV),,"0.2 Pts, 0.4 Reb, 0.2 Ast",Temple
Olin Chamberlain Jr.,21,FR,G,6-1,180.0,"Philadelphia, PA",St. Joseph's Prep (PA),,,Temple
Nate Ament,10,FR,F,6-10,207.0,"Manassas, VA",Highland School (VA),4 (2025),"18.2 Pts, 6.4 Reb, 2.6 Ast",Tennessee
Ja'Kobi Gillespie,0,SR,G,6-0,175.0,"Greeneville, TN",Greeneville (TN),,"18.1 Pts, 2.8 Reb, 5.5 Ast",Tennessee
J.P. Estrella,13,JR,F,6-11,241.0,"Scarborough, ME",South Portland (ME); Brewster Academy (NH),54 (2023),"9.7 Pts, 5.2 Reb, 0.7 Ast",Tennessee
Jaylen Carey,23,JR,F,6-8,245.0,"Davie, FL",Westminster Academy (FL),,"7.8 Pts, 6.0 Reb, 1.4 Ast",Tennessee
Felix Okpara,34,SR,C,6-11,220.0,"Lagos, Nigeria",Hamilton Heights Christian (TN); Link Academy (MO),65 (2022),"6.9 Pts, 5.8 Reb, 0.5 Ast",Tennessee
Bishop Boswell,3,SO,G,6-4,203.0,"Charlotte, NC",Myers Park (NC),76 (2024),"6.4 Pts, 5.2 Reb, 3.0 Ast",Tennessee
DeWayne Brown,6,FR,F,6-8,251.0,"Hoover, AL",Hoover (AL),,"5.5 Pts, 4.2 Reb, 1.1 Ast",Tennessee
Amari Evans,1,FR,G,6-5,220.0,"Pittsburgh, PA",Bishop Canevin (PA); Our Saviour Lutheran School (NY); Overtime Elite (GA),72 (2025),"3.5 Pts, 2.8 Reb, 0.8 Ast",Tennessee
Amaree Abram,77,SR,G,6-4,190.0,"Port Arthur, TX",Southern California Academy (CA),92 (2022),"3.8 Pts, 1.6 Reb, 0.8 Ast",Tennessee
Ethan Burg,35,SO,G,6-3,199.0,"Mishmar HaShiv'a, Israel",Gymnasia Realit Rishon LeZion (Israel),,"2.5 Pts, 0.8 Reb, 1.2 Ast",Tennessee
Troy Henderson,24,FR,G,6-1,186.0,"Richmond, VA",John Marshall (VA),,"2.2 Pts, 0.5 Reb, 1.3 Ast",Tennessee
Cade Phillips,12,JR,F,6-9,212.0,"Jacksonville, AL",Jacksonville (AL); Link Academy (MO),,"3.8 Pts, 4.0 Reb, 0.4 Ast",Tennessee
Clarence Massamba,4,FR,G,6-5,192.0,"Paris, France",The Rock School (FL),,"0.4 Pts, 0.2 Reb, 0.3 Ast",Tennessee
Campbell Duncan,21,SO,G,6-6,200.0,"Austin, TX",Anderson (TX),,"0.0 Pts, 1.0 Reb, 0.0 Ast",Tennessee
Grant Hurst,7,SR,G,6-2,180.0,"Cleveland, TN",Cleveland HS,,"0.0 Pts, 0.0 Reb, 0.0 Ast",Tennessee
Gavin Paull,11,SO,G,5-11,158.0,"Austin, TX","Westlake High School (Austin, TX)",,"0.0 Pts, 0.0 Reb, 0.0 Ast",Tennessee
Travis Harper,2,SR,G,6-6,190.0,"Columbus, GA",St. Anne Pacelli (GA),,"17.6 Pts, 4.3 Reb, 1.3 Ast",Tennessee State
Aaron Nkrumah,30,SR,F,6-6,175.0,"Worcester, MA","South (Worcester, MA)",,"17.4 Pts, 5.3 Reb, 2.9 Ast",Tennessee State
Dante Harris,10,SR,G,6-0,170.0,"Washington, DC",Lakeway Christian Academy,,"11.9 Pts, 3.4 Reb, 4.4 Ast",Tennessee State
Antoine Lorick,11,JR,F,6-9,210.0,"Augusta, GA",Cross Creek (GA),,"8.6 Pts, 4.6 Reb, 1.1 Ast",Tennessee State
Jalen Pitre,0,SR,F,6-8,220.0,"Long Beach, CA",Long Beach Poly (CA); Woodstock Academy (CT),,"6.9 Pts, 6.8 Reb, 1.0 Ast",Tennessee State
Khalil London,3,JR,G,6-3,185.0,"Wyandanch, NY",St. Dominic (NY); Scotland Campus (PA),,"6.4 Pts, 1.6 Reb, 1.1 Ast",Tennessee State
Carlous Williams,12,SR,F,6-5,230.0,"Hattiesburg, MS",Harrison Central (MS),,"5.7 Pts, 3.1 Reb, 0.6 Ast",Tennessee State
Kavien Jones,23,SO,F,6-7,230.0,"Franklin, TN",Battle Ground Academy (TN),,"2.9 Pts, 2.4 Reb, 0.1 Ast",Tennessee State
Jabrion Spikes,7,SR,G,6-2,210.0,"Princeton, KY",Caldwell County (KY),,"2.8 Pts, 1.4 Reb, 0.3 Ast",Tennessee State
JC Brooks,4,SO,F,6-10,215.0,"Calgary, Canada",Orangeville Prep (Canada),,"1.8 Pts, 2.3 Reb, 0.3 Ast",Tennessee State
Damon Howard,1,FR,G,6-1,160.0,"Indianapolis, IN",Pike (IN),,"1.7 Pts, 0.8 Reb, 0.9 Ast",Tennessee State
Jayden Jones,20,FR,G,6-4,195.0,"Madison, TN",Goodpasture Christian (TN),,"1.8 Pts, 0.3 Reb, 0.0 Ast",Tennessee State
Alex Garcia,31,JR,F,6-8,185.0,"Cleveland, OH",St. Ignatius (OH),,"0.7 Pts, 0.2 Reb, 0.0 Ast",Tennessee State
Jean Yvens Lafleur,21,JR,F,6-11,267.0,"Mirebalais, Haiti",,,"1.0 Pts, 2.5 Reb, 0.0 Ast",Tennessee State
Ogien Ayo,24,SR,F,6-9,180.0,"Baton Rouge, LA",Liberty Magnet (LA),,,Tennessee State
Maddux Bodenhamer,5,SO,G,6-2,190.0,"Nashville, TN",Antioch (TN),,,Tennessee State
Mekhi Cameron,1,SR,G,6-4,195.0,"Atlanta, GA",Eagles Landing Christian Academy (GA),,"11.4 Pts, 3.9 Reb, 1.2 Ast",Tennessee Tech
JaJuan Nicholls,7,JR,F,6-8,220.0,"Scranton, PA",Good Better Best Academy (NC),,"11.0 Pts, 5.4 Reb, 0.4 Ast",Tennessee Tech
Dani Pounds,11,JR,F,6-7,220.0,"Atlanta, GA",Forest Park (GA); Spire Institute (OH),,"10.3 Pts, 4.9 Reb, 0.7 Ast",Tennessee Tech
Brandon Muntu,6,SR,G,6-4,190.0,"Calgary, Canada",Halifax Prep (NS); Dohn Prep (OH),,"9.1 Pts, 2.7 Reb, 0.8 Ast",Tennessee Tech
Ja'Quavian Florence,5,SR,G,6-4,195.0,"Atlanta, GA",South Atlanta (GA),,"7.3 Pts, 2.4 Reb, 1.6 Ast",Tennessee Tech
Ty Owens,8,JR,G,6-0,185.0,"Port St. Lucie, FL",Centennial (FL),,"6.4 Pts, 2.5 Reb, 3.6 Ast",Tennessee Tech
Malik Ferguson,0,JR,G,6-4,188.0,"Grovetown, GA",Grovetown (GA),,"5.5 Pts, 1.7 Reb, 1.0 Ast",Tennessee Tech
C.J. McPherson,13,JR,G,6-3,211.0,"Virginia Beach, VA","Norfolk Collegiate (VA); Catholic (Virginia Beach, VA)",,"4.8 Pts, 1.7 Reb, 0.5 Ast",Tennessee Tech
Mekhi Turner,4,SO,F,6-8,214.0,"Atlanta, GA",Maynard Jackson (GA),,"4.2 Pts, 2.8 Reb, 0.4 Ast",Tennessee Tech
Grant Slatten,10,SR,G,6-5,195.0,"Sparta, TN",White County HS,,"3.5 Pts, 1.8 Reb, 0.8 Ast",Tennessee Tech
Jacobe Whitted,2,FR,F,6-7,205.0,"Birmingham, AL",McAdory (AL),,"3.4 Pts, 4.0 Reb, 0.8 Ast",Tennessee Tech
Jah'Kim Payne,3,JR,G,6-6,181.0,"Atlanta, GA",Alexander (GA),,"3.2 Pts, 1.6 Reb, 1.4 Ast",Tennessee Tech
Owen Varnado,24,SR,F,6-5,215.0,"Muskegon, MI",Western Michigan Christian (MI),,"1.1 Pts, 1.6 Reb, 0.7 Ast",Tennessee Tech
Hagan Preston,12,FR,G,6-3,187.0,"Lexington, KY",Mercer County (KY),,"0.8 Pts, 0.3 Reb, 0.0 Ast",Tennessee Tech
Colin Ayers,23,SO,G,6-0,170.0,"Hilham, TN",Cookville (TN),,"1.0 Pts, 0.3 Reb, 0.3 Ast",Tennessee Tech
Maguire Evans,32,FR,G,6-2,180.0,"Cleveland, TN",Cleveland (TN),,,Tennessee Tech
Andrija Bukumirović,0,JR,F,6-7,200.0,"Sjenica, Serbia",Gimnazija Novi Pazar,,"14.4 Pts, 8.0 Reb, 1.0 Ast",Tennessee-Martin
Matas Deniusas,44,FR,F,6-9,220.0,"Vilnius, Lithuania",Vilniaus Žvėryno gimnazija (Lithuania); BC Rytas Vilnius (Lithuania),,"12.8 Pts, 5.4 Reb, 1.6 Ast",Tennessee-Martin
Filip Radaković,33,SO,G,6-7,200.0,"Belgrade, Serbia",Prva Sportska Kosarkaska Gimnazija Koledz Beograd,,"9.5 Pts, 4.4 Reb, 2.7 Ast",Tennessee-Martin
Pedro Santos,9,SO,G,6-7,200.0,"Porto, Portugal",Colégio Júlio Dinis (Portugal),,"7.2 Pts, 4.0 Reb, 0.7 Ast",Tennessee-Martin
Afan Trnka,4,JR,G,6-2,180.0,"Sarajevo, Bosnia and Herzegovina",Bishop Mora Salesian (CA),,"6.6 Pts, 3.0 Reb, 2.5 Ast",Tennessee-Martin
Filip Petkovski,32,FR,G,6-5,185.0,"Kranj, Slovenia",KK Triglav Kranj (Slovenia),,"5.3 Pts, 3.0 Reb, 2.8 Ast",Tennessee-Martin
Damien King,5,FR,G,6-4,200.0,"Anderson, IN",Anderson (IN),,"5.0 Pts, 2.8 Reb, 1.1 Ast",Tennessee-Martin
AJ Hopkins,11,SR,G,6-6,195.0,"Atlanta, GA",Whitefield Academy (GA),,"3.8 Pts, 2.1 Reb, 0.3 Ast",Tennessee-Martin
Luca Colceag,77,SO,F,6-8,215.0,"Bucharest, Romania",Cluj Napoca (Romania),,"3.4 Pts, 2.1 Reb, 0.7 Ast",Tennessee-Martin
Dragos Lungu,7,JR,G,6-6,189.0,"Cluj-Napoca, Romania",U-BT Cluj-Napoca (Romania); NBA Global Academy (Australia),,"13.8 Pts, 5.3 Reb, 2.8 Ast",Tennessee-Martin
Lamine Niang,34,JR,F,6-10,225.0,"Thies, Senegal",Central Pointe Christian (FL),,"2.7 Pts, 2.4 Reb, 0.4 Ast",Tennessee-Martin
Vladimir Khryapa,24,FR,F,6-8,205.0,"Moscow, Russia",Prolific Prep (CA); Golden State Prep (CA),,"2.2 Pts, 2.5 Reb, 0.8 Ast",Tennessee-Martin
Ty Price,22,FR,G,5-10,180.0,"Morgantown, KY",Butler County (KY),,"2.4 Pts, 0.3 Reb, 0.3 Ast",Tennessee-Martin
Ama Sow,10,FR,F,6-9,220.0,"Dakar, Senegal",Montour (PA),,"2.3 Pts, 2.3 Reb, 0.2 Ast",Tennessee-Martin
James Bass,3,FR,F,6-8,200.0,"Banjul, Gambia",Central Pointe Academy (FL); Campbell Hall (CA),,,Tennessee-Martin
Will Hopkins,1,SO,G,6-5,180.0,"Atlanta, GA",Holy Innocents' Episcopal (GA),,,Tennessee-Martin
Charlie King,6,JR,F,6-5,185.0,"Ozark, IL",Vienna (IL),,,Tennessee-Martin
Enrique Moya,2,FR,G,5-11,150.0,"Granada, Spain",Fundación CB Granada (Spain),,,Tennessee-Martin
Lucas Williams,23,SO,G,6-4,185.0,"Altamonte Springs, FL",Lake Brantley (FL); Prestige Worldwide Sports Academy (FL),,,Tennessee-Martin
Dailyn Swain,3,JR,F,6-7,200.0,"Columbus, OH",Columbus Africentric Early College (OH),94 (2023),"17.7 Pts, 7.4 Reb, 3.3 Ast",Texas
Matas Vokietaitis,8,SO,C,7-0,245.0,"Marijampole, Lithuania",Kauno Varpas Gymnasium,,"15.5 Pts, 7.0 Reb, 0.5 Ast",Texas
Tramon Mark,12,SR,G,6-5,180.0,"Dickinson, TX",Dickinson HS,75 (2020),"13.3 Pts, 3.6 Reb, 2.0 Ast",Texas
Jordan Pope,0,SR,G,6-2,165.0,"Oakley, CA",Freedom (CA); Prolific Prep (CA),,"12.8 Pts, 2.0 Reb, 2.0 Ast",Texas
Simeon Wilcher,7,JR,G,6-4,180.0,"Plainfield, NJ",Roselle Catholic (NJ),31 (2023),"7.0 Pts, 2.1 Reb, 2.1 Ast",Texas
Camden Heide,5,JR,F,6-7,205.0,"Wayzata, MN",Wayzata (MN); Wasatch Academy (MN),,"6.9 Pts, 2.9 Reb, 0.7 Ast",Texas
Chendall Weaver,2,SR,G,6-3,164.0,"Mansfield, TX",Timberview (TX),,"6.0 Pts, 4.2 Reb, 1.2 Ast",Texas
Lassina Traore,23,SR,F,6-9,215.0,"Abidjan, Côte d'Ivoire",Victory Rock Prep,,"3.4 Pts, 5.1 Reb, 0.6 Ast",Texas
Nic Codie,10,SO,F,6-8,200.0,"Dallas, TX",Newman Smith (TX),66 (2024),"4.1 Pts, 2.9 Reb, 0.4 Ast",Texas
Declan Duru,4,FR,F,6-8,235.0,"Munich, Germany",Real Madrid (Spain),,"1.4 Pts, 1.3 Reb, 0.0 Ast",Texas
Anthon McDermott,33,SO,G,6-5,185.0,"Longview, TX",Hallsville (TX),,"0.9 Pts, 0.6 Reb, 0.3 Ast",Texas
Cole Bott,1,SR,F,6-6,195.0,"Highlands Ranch, CO",Northfield Mount Hermon School,,"0.5 Pts, 0.2 Reb, 0.2 Ast",Texas
Brandon Taylor,44,SR,G,6-0,175.0,"Coppell, TX",Coppell (TX),,"0.8 Pts, 0.5 Reb, 0.0 Ast",Texas
John Clark,9,FR,F,6-9,240.0,"Houston, TX",Klein Cain (TX); Link Academy (MO),63 (2025),,Texas
Lewis Obiorah,14,FR,C,7-0,250.0,"London, United Kingdom",Barking Abbey Basketball Academy (England),,,Texas
Rashaun Agee,12,SR,F,6-7,210.0,"Chicago, IL",Bogan HS,,"13.8 Pts, 9.0 Reb, 2.5 Ast",Texas A&M
Rubén Dominguez,9,SO,G,6-6,213.0,"Puerto Real, Spain",,,"11.4 Pts, 2.3 Reb, 1.6 Ast",Texas A&M
Marcus Hill,0,SR,G,6-4,185.0,"Rockford, IL",Rockford Christian (IL),,"11.3 Pts, 2.9 Reb, 1.7 Ast",Texas A&M
Rylan Griffen,3,SR,G,6-5,180.0,"Dallas, TX",Richardson (TX),40 (2022),"11.0 Pts, 2.7 Reb, 2.8 Ast",Texas A&M
Pop Isaacs,2,SR,G,6-2,170.0,"Las Vegas, NV",Wasatch Academy (UT); Coronado (NV),74 (2022),"9.8 Pts, 2.3 Reb, 2.4 Ast",Texas A&M
Jacari Lane,5,SR,G,6-0,178.0,"Huntsville, AL",Huntsville Lee (AL),,"7.2 Pts, 2.0 Reb, 3.5 Ast",Texas A&M
Zach Clemence,7,SR,F,6-10,225.0,"San Antonio, TX",Sunrise Christian Academy,43 (2021),"6.3 Pts, 2.9 Reb, 0.8 Ast",Texas A&M
Ali Abdou Dibba,6,SR,G,6-4,185.0,"Stockholm, Sweden",Central Pointe Academy,,"5.5 Pts, 2.8 Reb, 0.8 Ast",Texas A&M
Josh Holloway,1,JR,G,6-2,160.0,"Memphis, TN",St. George's Independent (TN); Oak Hill Academy (VA),,"4.8 Pts, 1.8 Reb, 2.0 Ast",Texas A&M
Jamie Vinson,4,SO,F,6-11,225.0,"Austin, TX","St. Michael's Catholic Academy (Austin, TX); Oak Hill Academy (VA)",,"3.8 Pts, 2.3 Reb, 0.4 Ast",Texas A&M
Mackenzie Mgbako,21,JR,F,6-8,217.0,"Gladstone, NJ",Roselle Catholic (NJ),10 (2023),"10.4 Pts, 4.9 Reb, 1.3 Ast",Texas A&M
Federiko Federiko,33,SR,C,6-11,220.0,"Helsinki, Finland",First Love Christian (PA),,"2.3 Pts, 2.1 Reb, 0.5 Ast",Texas A&M
Chris McDermott,14,SO,F,6-7,225.0,"Houston, TX","Booker T. Washington (Houston, TX)",,"0.7 Pts, 0.7 Reb, 0.2 Ast",Texas A&M
Noah Shelby,8,SR,G,6-3,180.0,"McKinney, TX",Greenhill School (TX),,"1.1 Pts, 0.2 Reb, 0.0 Ast",Texas A&M
Jeremiah Green,10,FR,G,6-3,189.0,"Denton, TX",Denton Guyer (TX); Compass Prep (AZ),,"0.9 Pts, 0.1 Reb, 0.5 Ast",Texas A&M
Sheldon Williams,6,SR,F,6-8,220.0,"Atmore, AL",Escambia County (AL),,"11.8 Pts, 7.0 Reb, 1.0 Ast",Texas A&M-Corpus Christi
Nicholas Shogbonyo,1,SR,G,6-1,185.0,"Arlington, TX",Mansfield Summit (TX),,"11.4 Pts, 3.5 Reb, 1.5 Ast",Texas A&M-Corpus Christi
Mason Gibson,3,SR,G,6-0,170.0,"Allen, TX",Allen (TX),,"10.2 Pts, 2.0 Reb, 1.3 Ast",Texas A&M-Corpus Christi
Franck Yetna,22,SR,F,6-7,215.0,"Paris, France",Lycée Camille Claudel (France),,"7.1 Pts, 3.5 Reb, 1.2 Ast",Texas A&M-Corpus Christi
Leo Torbor,2,SR,G,6-3,175.0,"Brooklyn Center, MN",Park Center (MN),,"5.9 Pts, 2.4 Reb, 1.8 Ast",Texas A&M-Corpus Christi
DA Houston,0,SR,G,6-1,215.0,"Bellaire, TX",Episcopal HS,,"7.4 Pts, 1.4 Reb, 2.7 Ast",Texas A&M-Corpus Christi
Cenker Evran,99,JR,F,6-8,235.0,"Adana, Türkiye",Türk Telekom BK (Türkiye),,"5.7 Pts, 4.7 Reb, 1.0 Ast",Texas A&M-Corpus Christi
Kam Parker,4,SR,G,6-2,180.0,"Tulsa, OK",Independence (KS) Community College,,"5.3 Pts, 2.4 Reb, 1.7 Ast",Texas A&M-Corpus Christi
Daniel Michelini-Jackson,10,JR,G,6-5,180.0,"Inglewood, CA",Lawndale (CA),,"4.4 Pts, 2.9 Reb, 1.3 Ast",Texas A&M-Corpus Christi
Bryson Wheatfall,8,FR,G,6-4,205.0,"Humble, TX",Summer Creek (TX); Legacy Early College (SC),,"4.0 Pts, 2.1 Reb, 0.7 Ast",Texas A&M-Corpus Christi
Devon Kobi Pearson,5,FR,F,6-8,215.0,"Lancaster, TX",Lancaster (TX),,"3.6 Pts, 1.9 Reb, 0.4 Ast",Texas A&M-Corpus Christi
Jaden Haire,11,JR,F,6-7,235.0,"Hanford, CA",Hanford West (CA),,"3.8 Pts, 2.1 Reb, 0.3 Ast",Texas A&M-Corpus Christi
Cedric Horton,14,FR,G,6-5,185.0,"Richmond, IN",Richmond (IN); Hargrave Military Academy (VA),,"2.9 Pts, 0.9 Reb, 0.8 Ast",Texas A&M-Corpus Christi
Trenton Pane,13,FR,G,5-10,180.0,"Allen, TX",Allen (TX),,"4.0 Pts, 1.5 Reb, 1.3 Ast",Texas A&M-Corpus Christi
Jamal Ambrose,24,JR,F,6-10,250.0,"Apple Valley, MN",Eastview (MN),,"1.3 Pts, 0.7 Reb, 0.1 Ast",Texas A&M-Corpus Christi
Kaden Crosby,7,JR,F,6-7,194.0,"Pflugerville, TX",Hendrickson (TX),,"0.6 Pts, 0.6 Reb, 0.4 Ast",Texas A&M-Corpus Christi
